Acciones,Código solicitud,Código unico,Estado operación,Departamento,Municipio,Fecha aprobación,Dirección,Autoridad de tránsito,Jurisdicción,Infracciones,Velocidad,Tipo de tecnología,Tipo de instalación,Nombre equipo,Latitud,Longitud,Código equipo,Resolución de renovación,Fecha radicación de renovación,Fecha de notificación,Fecha de recurso,Fecha resolución de recurso,Fecha de aprobación final,Fecha finalización de prórroga,Fecha inicio de operación,Fecha finalización inicial
,SOL0000003041,CU000000000495,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,AU. NORTE - CL 127 (S-N),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI36CAM03,4.709374,-74.053268,,815,18/03/2025,09/07/2025,,,23/07/2025,,,27/03/2025
,SOL0000003041,CU000000000491,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,Cl 116 X KR 9,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI34CAM01,4.693124,-74.035219,,794,18/03/2025,09/07/2025,,,23/07/2025,,,27/03/2025
,SOL0000003041,CU000000000490,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,Cl 63 Sur Cra. 98 A,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI40CAM01,4.633862,-74.198416,,812,18/03/2025,09/07/2025,,,23/07/2025,,,27/03/2025
,SOL0000003041,CU000000000481,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,AU. NORTE - CL 127B (N-S) C. LEN,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI36CAM01,4.70998,-74.05369,,803,18/03/2025,09/07/2025,,,23/07/2025,,,27/03/2025
,SOL0000003041,CU000000000486,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,AU. NORTE - CL 127B (N-S) C. RAP,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI36CAM02,4.709959,-74.053494,,802,18/03/2025,09/07/2025,,,23/07/2025,,,27/03/2025
,SOL0000003041,CU000000000474,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,AV VILLAVICENCIO - CR 32 (O-E),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2, D.4",None,Radar Doppler,Fijo,DEI26CAM01,4.57081,-74.149282,,798,17/03/2025,10/07/2025,,,24/07/2025,,,27/03/2025
,SOL0000003041,CU000000000500,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,Av Cl 61 Sur X Cra. 32,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2, D.4",None,Video Detección (Con Analítica de Video),Fijo,DEI26CAM02,4.570567,-74.148791,,798,17/03/2025,10/07/2025,,,24/07/2025,,,27/03/2025
,SOL0000003041,CU000000000478,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,AK 10 A X C 19,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2, D.4",None,Radar Doppler,Fijo,DEI27CAM01,4.607345,-74.07374,,793,17/03/2025,09/07/2025,,,23/07/2025,,,27/03/2025
,SOL0000003041,CU000000000475,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,AV CR 10 - CL 19 (N-S),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2, D.4",None,Radar Doppler,Fijo,DEI27CAM02,4.606397,-74.073989,,793,17/03/2025,09/07/2025,,,23/07/2025,,,27/03/2025
,SOL0000003041,CU000000000504,Prorrogada - Vencida,BOGOTA D.C,BOGOTA D.C,28/03/2020,AV CIUDAD DE CALI - AV SUBA (S-N),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2, D.4",None,Radar Doppler,Fijo,DEI32CAM01,4.746056,-74.0965,,819,17/03/2025,09/07/2025,,,,23/07/2025,,27/03/2025
,SOL0000003041,CU000000000498,Prorrogada - Vencida,BOGOTA D.C,BOGOTA D.C,28/03/2020,AV CIUDAD DE CALI - AV SUBA (N-S),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2, D.4",None,Radar Doppler,Fijo,DEI32CAM02,4.74701,-74.096011,,819,17/03/2025,09/07/2025,,,,23/07/2025,,27/03/2025
,SOL0000003041,CU000000000503,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,Autonorte X Cl 116,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI29CAM02,4.696583,-74.055696,,775,17/03/2025,02/07/2025,,,16/07/2025,,,27/03/2025
,SOL0000003041,CU000000000492,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,Autonorte X Cl 116,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI29CAM01,4.696591,-74.055795,,775,17/03/2025,02/07/2025,,,16/07/2025,,,27/03/2025
,SOL0000003041,CU000000000485,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,AU. NORTE - CL 109 (S-N) C. RAP,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI29CAM03,4.696998,-74.055279,,775,17/03/2025,02/07/2025,,,16/07/2025,,,27/03/2025
,SOL0000003041,CU000000000496,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,Autonorte X Cl 116,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI29CAM04,4.69697,-74.05512,,775,17/03/2025,02/07/2025,,,16/07/2025,,,27/03/2025
,SOL0000003041,CU000000000494,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,AV CALLE 80 - CR 114 (E-O),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI33CAM02,4.723064,-74.122144,,768,17/03/2025,02/07/2025,,,16/07/2025,,,27/03/2025
,SOL0000003041,CU000000000479,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,AV CALLE 80 - CR 114 (O-E),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI33CAM01,4.722724,-74.122138,,768,17/03/2025,02/07/2025,,,16/07/2025,,,27/03/2025
,SOL0000002961,CU000000000470,Prorrogada - Vencida,BOGOTA D.C,BOGOTA D.C,20/01/2020,AU. NORTE - CL 169 (N-S),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI22CAM01,4.750689,-74.046951,,532,10/01/2025,05/05/2025,,,,19/05/2025,,19/01/2025
,SOL0000002961,CU000000000456,Prorrogada - Vencida,BOGOTA D.C,BOGOTA D.C,20/01/2020,AU. NORTE - CL 172A (S-N),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI22CAM03,4.755324,-74.045449,,532,10/01/2025,05/05/2025,,,,19/05/2025,,19/01/2025
,SOL0000002961,CU000000000472,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,20/01/2020,Av. Ciudad de Cali X AC 80,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI20CAM02,4.700493,-74.102949,,519,10/01/2025,02/05/2025,,,16/05/2025,,,19/01/2025
,SOL0000002961,CU000000000464,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,20/01/2020,Av. Boyacá  X  AC 26,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI23CAM02,4.663862,-74.113855,,520,10/01/2025,02/05/2025,,,16/05/2025,,,19/01/2025
,SOL0000002961,CU000000000463,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,20/01/2020,AU. NORTE - CL 103 (S-N) C. RAP,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI17CAM03,4.689808,-74.056519,,531,10/01/2025,02/05/2025,,,16/05/2025,,,19/01/2025
,SOL0000002961,CU000000000459,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,20/01/2020,NQS X AC 72,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI19CAM02,4.668773,-74.072153,,515,10/01/2025,02/05/2025,,,16/05/2025,,,19/01/2025
,SOL0000002961,CU000000000457,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,20/01/2020,AU. NORTE - CL 102 A (N-S) C. RAP,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI17CAM02,4.689558,-74.057024,,531,10/01/2025,02/05/2025,,,16/05/2025,,,19/01/2025
,SOL0000002961,CU000000000455,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,20/01/2020,AU. NORTE - CL 103 (S-N) C. LEN,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI17CAM04,4.689784,-74.056347,,531,10/01/2025,02/05/2025,,,16/05/2025,,,19/01/2025
,SOL0000002961,CU000000000451,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,20/01/2020,Autonorte X Cl 100,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI17CAM01,4.68957,-74.057123,,531,10/01/2025,02/05/2025,,,16/05/2025,,,19/01/2025
,SOL0000002961,CU000000000450,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,20/01/2020,AV NQS - AV CL 72 (N-S),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI19CAM01,4.667425,-74.074036,,515,10/01/2025,02/05/2025,,,16/05/2025,,,19/01/2025
,SOL0000002961,CU000000000449,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,20/01/2020,Av. Boyacá  X  AC 26,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI23CAM01,4.663929,-74.113866,,520,10/01/2025,02/05/2025,,,16/05/2025,,,19/01/2025
,SOL0000002961,CU000000000447,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,20/01/2020,Av. Ciudad de Cali X AC 80,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI20CAM01,4.700817,-74.102772,,519,10/01/2025,02/05/2025,,,16/05/2025,,,19/01/2025
,SOL0000002961,CU000000000471,Prorrogada - Vencida,BOGOTA D.C,BOGOTA D.C,20/01/2020,AV NQS - CL 58A (N-S),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI16CAM01,4.64907,-74.078438,,526,10/01/2025,02/05/2025,,,,16/05/2025,,19/01/2025
,SOL0000002961,CU000000000467,Prorrogada - Vencida,BOGOTA D.C,BOGOTA D.C,20/01/2020,AV NQS - CL 58A (S-N),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI16CAM02,4.649063,-74.078201,,526,10/01/2025,02/05/2025,,,,16/05/2025,,19/01/2025
,SOL0000002961,CU000000000461,Prorrogada - Vencida,BOGOTA D.C,BOGOTA D.C,20/01/2020,AV AMÉRICAS - CR 78 (O-E),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI24CAM01,4.630949,-74.145344,,526,10/01/2025,02/05/2025,,,,16/05/2025,,19/01/2025
,SOL0000002961,CU000000000448,Prorrogada - Vencida,BOGOTA D.C,BOGOTA D.C,20/01/2020,AV AMÉRICAS - CR 78C (E-O),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI24CAM02,4.633058,-74.15041,,526,10/01/2025,02/05/2025,,,,16/05/2025,,19/01/2025
,SOL0000002961,CU000000000469,Prorrogada - Vencida,BOGOTA D.C,BOGOTA D.C,20/01/2020,Cl 11 Sur X Cra. 10,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI18CAM02,4.580292,-74.091083,,526,10/01/2025,02/05/2025,,,,16/05/2025,,19/01/2025
,SOL0000002961,CU000000000466,Prorrogada - Vencida,BOGOTA D.C,BOGOTA D.C,20/01/2020,Cl 11 Sur X Cra. 10,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI18CAM01,4.580441,-74.091327,,526,10/01/2025,02/05/2025,,,,16/05/2025,,19/01/2025
,SOL0000002961,CU000000000454,Prorrogada - Vencida,BOGOTA D.C,BOGOTA D.C,20/01/2020,NQS X Cl 59,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI16CAM03,4.649535,-74.078818,,526,10/01/2025,02/05/2025,,,,16/05/2025,,19/01/2025
,SOL0000002701,CU000000000430,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,26/12/2019,AV CIUDAD DE CALI - CL 15A (S-N),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI11CAM01,4.657056,-74.138196,,500,18/12/2024,25/04/2025,,,12/05/2025,,,25/12/2024
,SOL0000002701,CU000000000438,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,26/12/2019,AU. NORTE - CL 95 (N-S) C. LEN,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI10CAM02,4.683755,-74.058104,,443,18/12/2024,10/04/2025,,,28/04/2025,,,25/12/2024
,SOL0000002701,CU000000000429,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,26/12/2019,AV BOSA - CR 78F (E-O),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI08CAM02,4.604664,-74.179862,,446,18/12/2024,10/04/2025,,,28/04/2025,,,25/12/2024
,SOL0000002701,CU000000000428,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,26/12/2019,Av. Boyacá   X Av. Suba,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI09CAM01,4.722892,-74.073829,,444,18/12/2024,10/04/2025,,,28/04/2025,,,25/12/2024
,SOL0000002701,CU000000000423,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,26/12/2019,AU. NORTE - CL 95 (N-S) C. RAP,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI10CAM01,4.683743,-74.057933,,443,18/12/2024,10/04/2025,,,28/04/2025,,,25/12/2024
,SOL0000002701,CU000000000422,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,26/12/2019,Av. Boyacá   X Av. Suba,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI09CAM02,4.722668,-74.073843,,444,18/12/2024,10/04/2025,,,28/04/2025,,,25/12/2024
,SOL0000002701,CU000000000417,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,26/12/2019,AU. NORTE - CL 97 (S-N) C. RAP,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI10CAM03,4.684901,-74.057286,,435,18/12/2024,10/04/2025,,,28/04/2025,,,25/12/2024
,SOL0000002701,CU000000000416,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,26/12/2019,AV 1 DE MAYO - CL 45 SUR (S-N),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.4",None,Radar Doppler,Fijo,DEI14CAM01,4.614278,-74.164796,,423,18/12/2024,10/04/2025,,,28/04/2025,,,25/12/2024
,SOL0000002701,CU000000000435,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,26/12/2019,AV BOSA - CR 78F (O-E),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI08CAM01,4.60459,-74.180026,,446,18/12/2024,10/04/2025,,,28/04/2025,,,25/12/2024
,SOL0000002701,CU000000000432,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,26/12/2019,AV 1 DE MAYO - CL 45 SUR (N-S),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, D.2, D.4",None,Video Detección (Con Analítica de Video),Fijo,DEI14CAM02,4.614665,-74.164117,,423,18/12/2024,10/04/2025,,,28/04/2025,,,25/12/2024
,SOL0000002701,CU000000000431,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,26/12/2019,AV CIUDAD DE CALI - CL 135A (N-S),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI15CAM01,4.739127,-74.099365,,436,18/12/2024,09/04/2025,,,25/04/2025,,,25/12/2024
,SOL0000002701,CU000000000421,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,26/12/2019,AV CIUDAD DE CALI - CL 135A (S-N),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI15CAM02,4.738997,-74.099386,,436,18/12/2024,09/04/2025,,,25/04/2025,,,25/12/2024
